"Category";"CommonName";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefOrg";"ChiefName";"ChiefPosition";"PublicPhone";"Fax";"Email";"WorkingHours";"ClarificationOfWorkingHours";"WebSite";"global_id";"LandArea";"ExpositionArea";"TotalObjAmount";"PaintingsAmount";"GraphicsAmount";"SculptureAmount";"AppliedArtsAmount";"NumismatObjAmount";"ArchObjAmount";"EthnoObjAmount";"WeaponsObjAmount";"RarePaperAmount";"NatureObjAmount";"TechHistoryObjAmount";"OtherObjAmount";"TotalPreciousObjAmount";"geoData";"geodata_center";
"Музей";"ГМЗ «Кузьминки-Люблино»";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино»";"ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино»";"nested data";"nested data";"Департамент культуры города Москвы";"Юрманова Светлана Алексеевна";"директор";"nested data";"nested data";"nested data";"nested data";"Указан график работы парковой территории.";"park-kuzminki.ru";"2639269724";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.766159987, 55.695243907], [37.767411279, 55.695566342], [37.766530132, 55.694663418]], type=MultiPoint}";"";
"Музей";"Экскурсионный отдел павильона «Геология», Биологический музей имени К.А. Тимирязева";"Государственное бюджетное учреждение культуры города Москвы «Государственный биологический музей имени К.А. Тимирязева», Экскурсионный отдел павильона «Геология»";"ГБУК г. Москвы ГБМТ, Экскурсионный отдел павильона «Геология»";"nested data";"nested data";"Департамент культуры города Москвы";"Рябоконь Игорь Степанович";"директор";"nested data";"nested data";"nested data";"nested data";"Вход прекращается за час до закрытия павильона.";"gbmt.ru";"2639269746";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.619951, 55.834936]], type=MultiPoint}";"";
"Музей";"Дом русского зарубежья имени А. Солженицына";"Государственное бюджетное учреждение культуры города Москвы «Дом русского зарубежья имени Александра Солженицына»";"ГБУК г. Москвы «Дом русского зарубежья им. А. Солженицына»";"nested data";"nested data";"Департамент культуры города Москвы";"Москвин Виктор Александрович";"директор";"nested data";"nested data";"nested data";"nested data";"График работы Музея-квартиры А.Солженицына - пон., вт. - выходные, ср, пят., субб., воскр.: 12:00-19:00, чт: 14:00-21:00. Библиотека - пн., вт., ср., пятн.: 12:00-19:00, чт. 12:00-20:00, сб. и воскр. - выходные.";"domrz.ru";"2639269766";"12683.6";"1232.16";"7189";"201";"1907";"12";"469";"325";"76";"";"";"94";"";"51";"914";"142";"{coordinates=[[37.651072551, 55.742867242], [37.609207844, 55.764025151], [37.651561267, 55.743037446], [37.651647138, 55.742259492]], type=MultiPoint}";"";
"Музей";"Музейно - выставочный Центр В.А. Гиляровского";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы», Музейно-выставочный Центр В.А. Гиляровского";"ГБУК города Москвы «Музейное объединение «Музей Москвы», Музейно-выставочный Центр В.А. Гиляровского";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"";"mosmuseum.ru";"2639269786";"";"";"55";"";"";"";"18";"";"20";"";"12";"1";"";"";"4";"";"{coordinates=[[37.6154241, 55.763423741]], type=MultiPoint}";"";
"Музей";"Мемориальный музей А.Н. Скрябина, Музей русской гармоники А. Мирека";"Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей А.Н. Скрябина», Музей русской гармоники А. Мирека";"ГБУК г. Москвы «Мемориальный музей А.Н. Скрябина», Музей русской гармоники А. Мирека";"nested data";"nested data";"Департамент культуры города Москвы";"Лазарев Александр Иванович";"директор";"nested data";"nested data";"nested data";"nested data";"Касса закрывается за 30 минут до окончания работы музея. Последняя пятница каждого месяца - санитарный день. Среда каждой третьей недели месяца – бесплатно.";"scriabinmuseum.ru";"2639269788";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.594766831, 55.772064368]], type=MultiPoint}";"";
"Музей";"Государственный музей А. С. Пушкина";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А. С. Пушкина»";"ГБУК «ГМП»";"nested data";"nested data";"Департамент культуры города Москвы";"Богатырев Евгений Анатольевич";"директор";"nested data";"nested data";"nested data";"nested data";"Касса до 17.30, в четверг до 20.30.";"pushkinmuseum.ru";"2639269833";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.597304201, 55.744179538], [37.596769142, 55.744201123], [37.597289491, 55.743807067], [37.598266611, 55.744159045], [37.598559102, 55.743826194], [37.597676411, 55.743593547], [37.59703598, 55.744188597], [37.5969877, 55.744412044]], type=MultiPoint}";"";
"Музей";"Музей истории ГУЛАГа";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей истории «ГУЛАГа»";"ГБУК «Музей истории «ГУЛАГа»";"nested data";"nested data";"Департамент культуры города Москвы";"Романов Роман Владимирович";"директор";"nested data";"nested data";"nested data";"nested data";"Последняя пятница месяца санитарный день. Каждый третий вторник месяца - бесплатное посещение. Отделение музея «Дом на набережной» закрыто на реэкспозицию.";"gmig.ru";"2639269834";"3403.9";"936.2";"5055";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.612106462, 55.744105912], [37.613638854, 55.777072952]], type=MultiPoint}";"";
"Музей";"Экспозиция «Дача»";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея народного художника СССР Ильи Глазунова», Экспозиция «Дача»";"ГБУК г. Москвы «Галерея Ильи Глазунова», Экспозиция «Дача»";"nested data";"nested data";"Департамент культуры города Москвы";"Орлова-Глазунова Инесса Дмитриевна";"директор";"nested data";"nested data";"nested data";"nested data";"";"naive-museum.ru";"2639269845";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.813515, 55.749991]], type=MultiPoint}";"";
"Музей";"Музей археологии Москвы";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы», Музей археологии Москвы";"ГБУК города Москвы «Музейное объединение «Музей Москвы», Музей археологии Москвы";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"Касса закрывается на час раньше каждую пятницу, санитарного дня нет.";"mosmuseum.ru";"2639269856";"1306.4";"1306.4";"2863";"";"";"";"15";"17";"2643";"";"";"1";"";"";"187";"187";"{coordinates=[[37.617210248, 55.756328094]], type=MultiPoint}";"";
"Музей";"Мемориальный музей космонавтики";"Государственное бюджетное учреждение культуры города Москвы «Мемориальный музей космонавтики»";"ГБУК г. Москвы «ММК»";"nested data";"nested data";"Департамент культуры города Москвы";"Артюхина Наталья Витальевна";"директор";"nested data";"nested data";"nested data";"nested data";"Кассы закрываются за полчаса до закрытия музея.";"kosmo-museum.ru";"2639269858";"18740";"4861";"91575";"243";"";"80";"";"";"";"";"";"";"";"";"91252";"";"{coordinates=[[37.639664179, 55.822792255]], type=MultiPoint}";"";
"Музей";"Московская школа фотографии и мультимедиа имени А.Родченко, Мультимедийный комплекс актуальных искусств";"Государственное бюджетное учреждение культуры и дополнительного образования города Москвы «Мультимедийный комплекс актуальных искусств», Московская школа фотографии и мультимедиа имени А.Родченко";"ГБУКиДО г. Москвы «МКАИ», Московская школа фотографии и мультимедиа имени А.Родченко";"nested data";"nested data";"Департамент культуры города Москвы";"Свиблова Ольга Львовна";"директор";"nested data";"nested data";"nested data";"nested data";"";"mdfschool.ru";"2639269904";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.58963983, 55.73986478], [37.592016959, 55.740348186], [37.595045781, 55.733150505], [37.665440273, 55.782544557]], type=MultiPoint}";"";
"Музей";"Московская Усадьба Деда Мороза";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Московская Усадьба Деда Мороза";"ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино», Московская Усадьба Деда Мороза";"nested data";"nested data";"Департамент культуры города Москвы";"Юрманова Светлана Алексеевна";"директор";"nested data";"nested data";"nested data";"nested data";"Проведение экскурсий ежедневно, с 09.00 до 20.00";"dedmorozmos.ru";"2639269906";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.809198105, 55.688696952], [37.809746309, 55.688374142], [37.810277, 55.688487], [37.809259796, 55.688323503], [37.809661154, 55.688700007]], type=MultiPoint}";"";
"Музей";"Мемориальная квартира А. Белого";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А. С. Пушкина», Мемориальная квартира А. Белого";"ГБУК г. Москвы «ГМП», Мемориальная квартира А. Белого";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А. С. Пушкина»";"Богатырев Евгений Анатольевич";"директор";"nested data";"nested data";"nested data";"nested data";"Касса до 17.30, в четверг до 20.30.";"pushkinmuseum.ru";"2639269922";"583.1";"583.1";"1537";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.585440971, 55.74712165]], type=MultiPoint}";"";
"Музей";"Картинная галерея А. Шилова";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея народного художника СССР А. Шилова»";"ГБУК г. Москвы «Московская государственная картинная галерея народного художника СССР А. Шилова»";"nested data";"nested data";"Департамент культуры города Москвы";"Вохминцева Юлия Геннадьевна";"директор";"nested data";"nested data";"nested data";"nested data";"";"amshilov.ru";"2639269925";"2200";"1554.3";"17835";"431";"504";"";"";"";"";"";"";"1265";"";"";"15635";"";"{coordinates=[[37.607662046, 55.749212581], [37.608033204, 55.74915508], [37.60740457, 55.749284384], [37.608300214, 55.74911907]], type=MultiPoint}";"";
"Музей";"Экспозиция «Музей русского лубка и наивного искусства», Галерея Ильи Глазунова";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея народного художника СССР Ильи Глазунова», Экспозиция «Музей русского лубка и наивного искусства»";"ГБУК г. Москвы «Галерея Ильи Глазунова», Экспозиция «Музей русского лубка и наивного искусства»";"nested data";"nested data";"Департамент культуры города Москвы";"Орлова-Глазунова Инесса Дмитриевна";"директор";"nested data";"nested data";"nested data";"nested data";"";"naive-museum.ru";"2639269940";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.634465, 55.769027]], type=MultiPoint}";"";
"Музей";"Музей истории «Лефортово»";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы», Музей истории «Лефортово»";"ГБУК города Москвы «Музейное объединение «Музей Москвы», Музей истории «Лефортово»";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"Касса закрывается на 30 минут раньше. Каждое третье воскресенье месяца - вход свободный. Санитарного дня нет.";"mosmuseum.ru";"2639269945";"837.2";"837.2";"204";"";"";"";"141";"";"19";"";"17";"24";"";"";"3";"";"{coordinates=[[37.710756441, 55.769650548]], type=MultiPoint}";"";
"Музей";"Музей Москвы";"Государственное бюджетное учреждение культуры города Москвы «Музейное объединение «Музей Москвы»";"ГБУК города Москвы «Музейное объединение «Музей Москвы»";"nested data";"nested data";"Департамент культуры города Москвы";"Трапкова Анна Владимировна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"";"mosmuseum.ru";"2639269962";"22319.8";"6757.8";"795036";"1936";"31467";"303";"36503";"130603";"270430";"";"89";"204364";"";"117";"119224";"114763";"{coordinates=[[37.620477, 55.837691], [37.593635, 55.736876], [37.5924, 55.736957], [37.594343042, 55.73684733], [37.594116, 55.736216], [37.593299579, 55.736339047]], type=MultiPoint}";"";
"Музей";"Дом-музей В.Л. Пушкина";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С. Пушкина», Дом-музей В.Л. Пушкина";"ГБУК «ГМП», Дом-музей В.Л. Пушкина";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С. Пушкина»";"Богатырев Евгений Анатольевич";"директор";"nested data";"nested data";"nested data";"nested data";"Касса до 17.30, в четверг до 20.30.";"pushkinmuseum.ru";"2639269969";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.668995666, 55.769071428]], type=MultiPoint}";"";
"Музей";"Дарвиновский музей";"Государственное бюджетное учреждение культуры города Москвы «Государственный Дарвиновский музей»";"ГБУК ГДМ";"nested data";"nested data";"Департамент культуры города Москвы";"Клюкина Анна Иосифовна";"директор";"nested data";"nested data";"nested data";"nested data";"В четверг основная экспозиция открыта для посетителей с 10 часов до 18 часов, выставочные залы работают с 13 часов до 21 часа. Четверг каждой третьей недели месяца вход в музей бесплатный.";"darwinmuseum.ru";"2639269970";"13960";"7213.6";"350819";"1850";"9234";"1331";"595";"8";"2447";"154";"";"17816";"306015";"";"11369";"";"{coordinates=[[37.561343674, 55.690684243], [37.562417369, 55.690860704]], type=MultiPoint}";"";
"Музей";"Мемориальная квартира А. С. Пушкина";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А. С. Пушкина», Мемориальная квартира А. С. Пушкина";"ГБУК «ГМП», Мемориальная квартира А.С. Пушкина";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Государственный музей А. С. Пушкина»";"Богатырев Евгений Анатольевич";"директор";"nested data";"nested data";"nested data";"nested data";"Касса до 17.30, в четверг до 20.30.";"pushkinmuseum.ru";"2639269997";"600";"150";"164306";"8535";"17630";"437";"4529";"656";"59";"";"18";"103864";"";"";"32153";"237";"{coordinates=[[37.585889436, 55.747514744]], type=MultiPoint}";"";
"Музей";"Мультимедийный комплекс актуальных искусств, Мультимедиа Арт Музей";"Государственное бюджетное учреждение культуры и дополнительного образования города Москвы «Мультимедийный комплекс актуальных искусств», Мультимедиа Арт Музей";"ГБУКиДО г. Москвы «МКАИ», Мультимедиа Арт Музей";"nested data";"nested data";"Департамент культуры города Москвы";"Свиблова Ольга Львовна";"директор";"nested data";"nested data";"nested data";"nested data";"";"mamm-mdf.ru";"2639270017";"10300";"7338";"91894";"";"";"";"";"";"";"";"";"";"";"10";"91884";"";"{coordinates=[[37.598370081, 55.741666832]], type=MultiPoint}";"";
"Музей";"Усадьба «Люблино»";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Усадьба «Люблино»";"ГАУК г. Москвы «ГМЗ «Кузьминки-Люблино», Усадьба «Люблино»";"nested data";"nested data";"Департамент культуры города Москвы";"Юрманова Светлана Алексеевна";"директор";"nested data";"nested data";"nested data";"nested data";"Указано время работы музея";"park-kuzminki.ru";"2639270036";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.743689823, 55.688082878], [37.384814015, 55.68160696], [37.743063401, 55.68866363]], type=MultiPoint}";"";
"Музей";"Музей-заповедник «Царицыно»";"Государственное бюджетное учреждение культуры города Москвы «Государственный историко-архитектурный, художественный и ландшафтный музей-заповедник «Царицыно»";"ГБУК г. Москвы «ГМЗ «Царицыно»";"nested data";"nested data";"Департамент культуры города Москвы";"Фокина Елизавета Борисовна";"генеральный директор";"nested data";"nested data";"nested data";"nested data";"Время работы Оранжереи совпадает с временем работы музея, кроме вт.- выходной. Парк работает ежедневно с 6 до 24ч.";"tsaritsyno-museum.ru";"2639270046";"48316";"15591.4";"41825";"678";"2524";"210";"23798";"2958";"10140";"";"";"1423";"";"";"94";"2543";"{coordinates=[[37.686477997, 55.614268008], [37.689427352, 55.615221553], [37.680581426, 55.614594432], [37.680580127, 55.615443159], [37.673280453, 55.618060132], [37.684418368, 55.615897585], [37.683754876, 55.617951043], [37.672889661, 55.61153274], [37.684100484, 55.615588126], [37.688874817, 55.615751719], [37.674744731, 55.614523138], [37.682180023, 55.615515417], [37.679788863, 55.617386981], [37.673527217, 55.619496005], [37.688467121, 55.616430322]], type=MultiPoint}";"";
"Музей";"Музей-усадьба «Кусково»";"Государственное бюджетное учреждение культуры города Москвы «Государственный дворцово-парковый музей-заповедник «Останкино и Кусково».";"ГБУК г.Москвы «ГМЗ «Останкино и Кусково».";"nested data";"nested data";"Департамент культуры города Москвы";"Авдонин Сергей Владимирович";"директор";"nested data";"nested data";"nested data";"nested data";"Указан зимний режим работы, касса до 17.30. Последняя среда месяца – санитарный день.";"kuskovo.ru";"2639270060";"266459";"3510.6";"50710";"692";"1898";"147";"45706";"";"";"";"";"2267";"";"";"";"224";"{coordinates=[[37.811528253, 55.737423111], [37.807892333, 55.737345811], [37.805591594, 55.736984236], [37.810455333, 55.738164585], [37.812548038, 55.735075664], [37.810375, 55.734988], [37.811280107, 55.735246624], [37.811478999, 55.737323028], [37.808941221, 55.735001982]], type=MultiPoint}";"";
"Музей";"Экспозиции «Галерея Ильи Глазунова» и Музей сословий России";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея народного художника СССР Ильи Глазунова»";"ГБУК г. Москвы «Галерея Ильи Глазунова»";"nested data";"nested data";"Департамент культуры города Москвы";"Орлова-Глазунова Инесса Дмитриевна";"директор";"nested data";"nested data";"nested data";"nested data";"Касса закрывается за 45 минут до окончания работы музея";"glazunov-gallery.ru";"2639270062";"10203";"5099";"8433";"736";"2075";"67";"3541";"47";"23";"";"19";"67";"";"";"1858";"";"{coordinates=[[37.606655126, 55.746426028], [37.607646799, 55.746667585]], type=MultiPoint}";"";
"Музей";"Картинная галерея Василия Нестеренко";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Василия Нестеренко»";"ГБУК г. Москвы «Галерея В.Нестеренко»";"nested data";"nested data";"Департамент культуры города Москвы";"Компанцев Алексей Викторович";"директор";"nested data";"nested data";"nested data";"nested data";"Выставочной площадкой Московской государственной картинной галереи Василия Нестеренко является Выставочный зал «Домик Чехова» на улице М.Дмитровка, дом 29, строение 4. В графике работы указано время работы выставочной экспозиции.";"nesterenko.arts.mos.ru";"2639270087";"202.6";"";"51";"49";"2";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.60411303, 55.771672551]], type=MultiPoint}";"";
"Музей";"Экспозиция «Народные картины»";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея народного художника СССР Ильи Глазунова», Экспозиция «Народные картины»";"ГБУК г. Москвы «Галерея Ильи Глазунова», Экспозиция «Народные картины»";"nested data";"nested data";"Департамент культуры города Москвы";"Орлова-Глазунова Инесса Дмитриевна";"директор";"nested data";"nested data";"nested data";"nested data";"";"naive-museum.ru";"2639270088";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"{coordinates=[[37.795624, 55.796101]], type=MultiPoint}";"";
"Музей";"Музей К. Г.Паустовского";"Государственное бюджетное учреждение культуры города Москвы «Музей К.Г.Паустовского»";"ГБУК г. Москвы «Музей К. Г.Паустовского»";"nested data";"nested data";"Департамент культуры города Москвы";"Дормидонтова Анжелика Игоревна";"директор";"nested data";"nested data";"nested data";"nested data";"Последняя пятница месяца — санитарный день.";"mirpaustowskogo.ru";"2639270099";"267.5";"88.1";"23613";"56";"220";"14";"";"";"";"";"";"";"";"";"18118";"";"{coordinates=[[37.788878451, 55.694051335]], type=MultiPoint}";"";
